Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On_Track_Toward_2020_Goal (0.70, 2018)",SIR_2015,Months,Notes,Facility_Type,On_Track,Met_2020_Goal,Year ,Facility_Name1,Facility_Name2,Facility_Name3,FACID1,FACID2,FACID3,Infection_Count,SIR ,SIR_95%_CI_Lower_Limit,SIR_95%_CI_Upper_Limit,Facility_ID1,Cases,Predicted_Cases,Hospital_Onset_Cases,Facility_Category
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,"Garfield Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.11,5598.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,"Adventist Health Glendale, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.13,6669.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,Adventist Health Glendale,Los Angeles,Acute Care Hospital,,4.0,4.49,84496.0,0.89,0.28,2.15,Same,,,12.0,,"Community, >250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000060.0,Glendora Community Hospital,Los Angeles,Acute Care Hospital,,0.0,0.21,4988.0,0.0,0.0,17.68,Same,,4.14,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062.0,Greater El Monte Community Hospital,Los Angeles,Acute Care Hospital,,2.0,0.59,13799.0,3.39,0.41,12.26,Same,,0.0,11.0,"¥ See Data Dictionary; Incomplete Reporter, interpret with caution","Community, <125 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,Henry Mayo Newhall Hospital,Los Angeles,Acute Care Hospital,,1.0,2.91,49012.0,0.34,0.02,1.7,Same,,0.0,12.0,,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,"Henry Mayo Newhall Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.12,6054.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000064.0,Southern California Hospital at Hollywood,Los Angeles,Acute Care Hospital,,0.0,0.93,22162.0,0.0,0.0,3.97,Same,,8.75,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,Hollywood Presbyterian Medical Center,Los Angeles,Acute Care Hospital,,1.0,4.3,58887.0,0.23,0.01,1.15,Same,,0.62,12.0,,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,"Hollywood Presbyterian Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.08,4288.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066.0,Providence Holy Cross Medical Center,Los Angeles,Acute Care Hospital,,3.0,3.97,83980.0,0.76,0.19,2.06,Same,,0.24,12.0,,"Community, >250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066.0,"Providence Holy Cross Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.06,3288.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Good Samaritan Hospital, Los Angeles",Los Angeles,Acute Care Hospital,,4.0,5.04,75128.0,0.79,0.25,1.92,Same,,2.51,12.0,,"Community, >250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Good Samaritan Hospital, Los Angeles, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.08,4455.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070.0,Emanate Health Inter-Community Hospital,Los Angeles,Acute Care Hospital,,1.0,1.15,34538.0,0.87,0.04,4.29,Same,,,12.0,,"Community, 125-250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071.0,"Kaiser Foundation Hospital, South Bay",Los Angeles,Acute Care Hospital,,3.0,2.47,51878.0,1.22,0.31,3.31,Same,,1.38,12.0,,Major Teaching,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000072.0,"Kaiser Foundation Hospital, Los Angeles",Los Angeles,Acute Care Hospital,,3.0,6.16,124036.0,0.49,0.12,1.33,Same,,0.91,12.0,,Major Teaching,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074.0,"Kaiser Foundation Hospital, Downey",Los Angeles,Acute Care Hospital,,0.0,4.38,85761.0,0.0,0.0,0.68,Better,,0.72,12.0,,Major Teaching,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076.0,"Kaiser Foundation Hospital, West LA",Los Angeles,Acute Care Hospital,,0.0,1.91,44208.0,0.0,0.0,1.57,Same,,0.0,12.0,,Major Teaching,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077.0,Palmdale Regional Medical Center,Los Angeles,Acute Care Hospital,,0.0,1.74,34001.0,0.0,0.0,1.72,Same,,3.22,12.0,,Major Teaching,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077.0,"Palmdale Regional Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.1,5516.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000081.0,Providence Little Company of Mary Medical Center Torrance,Los Angeles,Acute Care Hospital,,0.0,3.94,73300.0,0.0,0.0,0.76,Better,,0.81,12.0,,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000085.0,Los Angeles Community Hospital,Los Angeles,Acute Care Hospital,,3.0,0.75,26559.0,4.02,0.83,11.75,Same,,2.61,12.0,¥ See Data Dictionary,"Community, <125 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000088.0,"Kindred Hospital, Los Angeles",Los Angeles,Long-Term Acute Care Hospital,,9.0,5.61,30890.0,1.61,0.78,2.95,Same,,3.43,12.0,,Long-Term Acute Care,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089.0,"Kindred Hospital, La Mirada",Los Angeles,Long-Term Acute Care Hospital,,5.0,1.94,16790.0,2.57,0.94,5.7,Same,,1.51,12.0,,Long-Term Acute Care,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000091.0,Providence Cedars-Sinai Tarzana Medical Center,Los Angeles,Acute Care Hospital,,0.0,2.7,58973.0,0.0,0.0,1.11,Same,,,12.0,,"Community, 125-250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000092.0,Memorial Hospital of Gardena,Los Angeles,Acute Care Hospital,,1.0,1.1,26165.0,0.91,0.05,4.48,Same,,4.14,12.0,,"Community, <125 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,Glendale Memorial Hospital and Health Center,Los Angeles,Acute Care Hospital,,0.0,1.74,38266.0,0.0,0.0,1.72,Same,,0.38,12.0,,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,"Glendale Memorial Hospital and Health Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.07,3472.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095.0,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,,10.0,6.61,97246.0,1.51,0.77,2.7,Same,,,12.0,,Major Teaching,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095.0,"MemorialCare Long Beach Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,1.0,0.13,6973.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096.0,Methodist Hospital of Southern California,Los Angeles,Acute Care Hospital,,0.0,4.67,72707.0,0.0,0.0,0.64,Better,,0.31,12.0,,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096.0,"Methodist Hospital of Southern California, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.15,7943.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099.0,"PIH Health Hospital, Whittier",Los Angeles,Acute Care Hospital,,2.0,4.73,82926.0,0.42,0.07,1.4,Same,,,12.0,,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099.0,"PIH Health Hospital, Whittier, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.05,2777.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000100.0,Providence Saint John's Health Center,Los Angeles,Acute Care Hospital,,6.0,1.75,62197.0,3.44,1.39,7.15,Worse,,1.03,12.0,,"Community, >250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101.0,Providence Saint Joseph Medical Center,Los Angeles,Acute Care Hospital,,2.0,3.45,79268.0,0.58,0.1,1.92,Same,,1.23,12.0,,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101.0,"Providence Saint Joseph Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.04,2288.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103.0,"St. Mary Medical Center, Long Beach",Los Angeles,Acute Care Hospital,,3.0,4.23,58274.0,0.71,0.18,1.93,Same,,0.72,12.0,,"Community, >250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103.0,"St. Mary Medical Center, Long Beach, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.1,5391.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000104.0,Saint Vincent Medical Center,Los Angeles,Acute Care Hospital,,4.0,1.94,35119.0,2.06,0.65,4.97,Same,,1.0,10.0,,"Community, 125-250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000104.0,"Saint Vincent Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.06,2971.0,,,,,,,10.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000105.0,Olympia Medical Center,Los Angeles,Acute Care Hospital,,2.0,0.82,18520.0,2.44,0.3,8.81,Same,,2.03,9.0,"¥ See Data Dictionary; Incomplete Reporter, interpret with caution","Community, 125-250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000107.0,Monrovia Memorial Hospital,Los Angeles,Long-Term Acute Care Hospital,,1.0,0.98,8549.0,1.02,0.03,5.69,Same,,0.82,12.0,¥ See Data Dictionary,Long-Term Acute Care,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000108.0,Monterey Park Hospital,Los Angeles,Acute Care Hospital,,0.0,0.57,21384.0,0.0,0.0,6.43,Same,,3.84,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111.0,Northridge Hospital Medical Center,Los Angeles,Acute Care Hospital,,0.0,2.93,52886.0,0.0,0.0,1.02,Same,,0.0,12.0,,Major Teaching,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111.0,"Northridge Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.12,6291.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000112.0,Norwalk Community Hospital,Los Angeles,Acute Care Hospital,,0.0,0.45,14189.0,0.0,0.0,8.16,Same,,,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114.0,College Medical Center,Los Angeles,Acute Care Hospital,,4.0,1.89,30568.0,2.12,0.67,5.12,Same,,0.57,12.0,,"Community, 125-250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000123.0,Pomona Valley Hospital Medical Center,Los Angeles,Acute Care Hospital,,9.0,6.95,100063.0,1.3,0.63,2.38,Same,,1.7,12.0,,Major Teaching,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000125.0,San Dimas Community Hospital,Los Angeles,Acute Care Hospital,,0.0,0.39,13825.0,0.0,0.0,9.39,Same,,1.49,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000127.0,Torrance Memorial Medical Center,Los Angeles,Acute Care Hospital,,3.0,3.77,98802.0,0.8,0.2,2.17,Same,,0.6,12.0,,"Community, >250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000128.0,Saint Francis Medical Center,Los Angeles,Acute Care Hospital,,8.0,4.91,107278.0,1.63,0.76,3.09,Same,,0.99,12.0,,"Community, >250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129.0,Valley Presbyterian Hospital,Los Angeles,Acute Care Hospital,,3.0,5.28,66553.0,0.57,0.14,1.55,Same,,1.75,12.0,,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129.0,"Valley Presbyterian Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.06,3013.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,Emanate Health Queen of the Valley Hospital,Los Angeles,Acute Care Hospital,,2.0,2.45,62937.0,0.82,0.14,2.7,Same,,,12.0,,"Community, >250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,"Emanate Health Queen of the Valley Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.07,3555.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000133.0,Pacifica Hospital of the Valley,Los Angeles,Acute Care Hospital,,0.0,0.26,7397.0,0.0,0.0,14.28,Same,,2.02,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000140.0,Sherman Oaks Hospital,Los Angeles,Acute Care Hospital,,2.0,0.73,19197.0,2.76,0.33,9.96,Same,,0.51,12.0,¥ See Data Dictionary,"Community, 125-250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000144.0,"Kindred Hospital, Baldwin Park",Los Angeles,Long-Term Acute Care Hospital,,2.0,3.05,24640.0,0.66,0.11,2.16,Same,,0.82,12.0,,Long-Term Acute Care,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000151.0,Whittier Hospital Medical Center,Los Angeles,Acute Care Hospital,,0.0,1.22,29404.0,0.0,0.0,2.46,Same,,1.55,12.0,,"Community, 125-250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157.0,Providence Little Company of Mary Medical Center San Pedro,Los Angeles,Acute Care Hospital,,0.0,0.91,19369.0,0.0,0.0,4.04,Same,,0.0,12.0,¥ See Data Dictionary,"Community, >250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157.0,"Providence Little Company of Mary Medical Center San Pedro, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.09,4746.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158.0,DOCS Surgical Hospital,Los Angeles,Acute Care Hospital,,,,,,,,,,,,"Incomplete Reporter, interpret with caution","Community, <125 Beds",,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000162.0,Ronald Reagan UCLA Medical Center,Los Angeles,Acute Care Hospital,,15.0,10.09,149838.0,1.49,0.86,2.4,Same,,1.57,12.0,,Major Teaching,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000163.0,USC Kenneth Norris Jr. Cancer Hospital,Los Angeles,Acute Care Hospital,,6.0,1.68,14864.0,3.57,1.45,7.42,Worse,,2.1,12.0,,Major Teaching,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000187.0,USC Verdugo Hills Hospital,Los Angeles,Acute Care Hospital,,0.0,0.7,19757.0,0.0,0.0,5.31,Same,,1.27,12.0,¥ See Data Dictionary,Major Teaching,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000188.0,West Covina Medical Center,Los Angeles,Acute Care Hospital,,0.0,0.03,1838.0,,,,,,,12.0,,"Community, <125 Beds",,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191.0,"Adventist Health White Memorial, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.05,2858.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191.0,Adventist Health White Memorial,Los Angeles,Acute Care Hospital,,3.0,4.2,79401.0,0.72,0.18,1.95,Same,,,12.0,,Major Teaching,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290.0,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,Acute Care Hospital,,1.0,1.55,38283.0,0.65,0.03,3.19,Same,,0.97,12.0,,Major Teaching,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,Keck Hospital of USC,Los Angeles,Acute Care Hospital,,6.0,6.59,85755.0,0.91,0.37,1.89,Same,,0.46,12.0,,Major Teaching,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,"Keck Hospital of USC, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,,0.0,0.09,4717.0,,,,,,,12.0,,Rehabilitation Unit,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001543.0,"Kaiser Foundation Hospital, Baldwin Park",Los Angeles,Acute Care Hospital,,1.0,2.22,49270.0,0.45,0.02,2.23,Same,,0.0,12.0,,Major Teaching,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001709.0,MemorialCare Miller Children's & Women's Hospital Long Beach,Los Angeles,Acute Care Hospital,,2.0,2.15,67610.0,0.93,0.16,3.08,Same,,,12.0,,Pediatric,No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000111.0,Madera Community Hospital,Madera,Acute Care Hospital,,0.0,0.67,15601.0,0.0,0.0,5.47,Same,,0.0,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000129.0,Valley Children's Hospital,Madera,Acute Care Hospital,,0.0,2.63,73220.0,0.0,0.0,1.14,Same,,1.63,12.0,,Pediatric,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000944.0,"Kaiser Foundation Hospital, San Rafael",Marin,Acute Care Hospital,,2.0,0.64,20211.0,3.12,0.38,11.27,Same,,1.67,12.0,¥ See Data Dictionary,"Community, <125 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000946.0,Kentfield Hospital,Marin,Long-Term Acute Care Hospital,,0.0,2.23,17635.0,0.0,0.0,1.34,Same,,,12.0,,Long-Term Acute Care,Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000953.0,MarinHealth Medical Center,Marin,Acute Care Hospital,,0.0,1.47,38450.0,0.0,0.0,2.04,Same,,,12.0,,"Community, 125-250 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000982.0,Novato Community Hospital,Marin,Acute Care Hospital,,0.0,0.24,7597.0,0.0,0.0,15.06,Same,,,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000105.0,John C. Fremont Healthcare District,Mariposa,Critical Access Hospital,,0.0,0.1,4720.0,,,,,,,12.0,,Critical Access,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000008.0,Adventist Health Howard Memorial,Mendocino,Critical Access Hospital,,0.0,0.16,7904.0,,,,,,,12.0,,Critical Access,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000023.0,Mendocino Coast District Hospital,Mendocino,Critical Access Hospital,,0.0,0.09,4522.0,,,,,,,12.0,,Critical Access,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000070.0,Adventist Health Ukiah Valley,Mendocino,Acute Care Hospital,,0.0,0.67,14122.0,0.0,0.0,5.53,Same,,,12.0,¥ See Data Dictionary,"Community, <125 Beds",Yes,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000110.0,Memorial Hospital Los Banos,Merced,Acute Care Hospital,,0.0,0.13,6050.0,,,,,,,12.0,,"Community, <125 Beds",,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000113.0,Mercy Medical Center,Merced,Acute Care Hospital,,2.0,1.6,47390.0,1.25,0.21,4.12,Same,,0.55,12.0,,"Community, 125-250 Beds",No,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000011.0,Modoc Medical Center,Modoc,Critical Access Hospital,,0.0,0.01,287.0,,,,,,,12.0,,Critical Access,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000021.0,Surprise Valley Community Hospital,Modoc,Critical Access Hospital,,0.0,0.01,331.0,,,,,,,12.0,,Critical Access,,,,,,,,,,,,,,,,,,
2019,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000005.0,Mammoth Hospital,Mono,Critical Access Hospital,,0.0,0.05,2164.0,,,,,,,12.0,,Critical Access,,,,,,,,,,,,,,,,,,
